doc,stage,version,severity,code,detail
384-201-00004_Annotated_CRF___v1.0_05_Mar_2025,gates,1,quality,warn_text_blocklists,"The program filters by 15 hardcoded literal text strings (membership blocklists / long regex alternations of specific wordings). These fit only the pages they were copied from: unsampled pages carry the same junk classes with other wording, and real fields elsewhere can share the blocklisted words. "
384-201-00004_Annotated_CRF___v1.0_05_Mar_2025,audit,1,quality,audit_missed,p77: PR
384-201-00004_Annotated_CRF___v1.0_05_Mar_2025,audit,1,quality,audit_missed,p77: QRS
384-201-00004_Annotated_CRF___v1.0_05_Mar_2025,audit,1,quality,audit_missed,p77: QT
384-201-00004_Annotated_CRF___v1.0_05_Mar_2025,audit,1,quality,audit_missed,p90: BMI
384-201-00004_Annotated_CRF___v1.0_05_Mar_2025,audit,2,quality,audit_missed,p77: PR
384-201-00004_Annotated_CRF___v1.0_05_Mar_2025,audit,2,quality,audit_missed,p77: QRS
384-201-00004_Annotated_CRF___v1.0_05_Mar_2025,audit,2,quality,audit_missed,p77: QT
384-201-00004_Annotated_CRF___v1.0_05_Mar_2025,audit,2,quality,audit_missed,p90: BMI
384-201-00004_Annotated_CRF___v1.0_05_Mar_2025,gates,1,blocking,gate_form_explosion,"Degenerate form grouping: 69 distinct form_names for 114 records. A form/section title groups MANY fields by definition, so these form_name values are per-field text (each field's own label, a machine code, or a per-field technical annotation), not the printed title. Extract the title that heads the"
384-201-00004_Annotated_CRF___v1.0_05_Mar_2025,gates,1,quality,warn_other,Only 17% of the 114 records on multi-field pages reuse a form_name used by another field on that page. A form/section title normally persists across the fields it groups; per-field labels or annotations do not. Detect the shared printed heading structurally and carry it across continuation pages. If
384-201-00004_Annotated_CRF___v1.0_05_Mar_2025,gates,1,quality,warn_text_blocklists,"The program filters by 18 hardcoded literal text strings (membership blocklists / long regex alternations of specific wordings). These fit only the pages they were copied from: unsampled pages carry the same junk classes with other wording, and real fields elsewhere can share the blocklisted words. "
384-201-00004_Annotated_CRF___v1.0_05_Mar_2025,gates,2,blocking,gate_form_explosion,"Degenerate form grouping: 70 distinct form_names for 139 records. A form/section title groups MANY fields by definition, so these form_name values are per-field text (each field's own label, a machine code, or a per-field technical annotation), not the printed title. Extract the title that heads the"
384-201-00004_Annotated_CRF___v1.0_05_Mar_2025,gates,2,quality,warn_other,Only 32% of the 139 records on multi-field pages reuse a form_name used by another field on that page. A form/section title normally persists across the fields it groups; per-field labels or annotations do not. Detect the shared printed heading structurally and carry it across continuation pages. If
384-201-00004_Annotated_CRF___v1.0_05_Mar_2025,gates,2,quality,warn_text_blocklists,"The program filters by 24 hardcoded literal text strings (membership blocklists / long regex alternations of specific wordings). These fit only the pages they were copied from: unsampled pages carry the same junk classes with other wording, and real fields elsewhere can share the blocklisted words. "
384-201-00004_Annotated_CRF___v1.0_05_Mar_2025,gates,3,blocking,gate_form_explosion,"Degenerate form grouping: 69 distinct form_names for 113 records. A form/section title groups MANY fields by definition, so these form_name values are per-field text (each field's own label, a machine code, or a per-field technical annotation), not the printed title. Extract the title that heads the"
384-201-00004_Annotated_CRF___v1.0_05_Mar_2025,gates,3,quality,warn_other,Only 16% of the 113 records on multi-field pages reuse a form_name used by another field on that page. A form/section title normally persists across the fields it groups; per-field labels or annotations do not. Detect the shared printed heading structurally and carry it across continuation pages. If
384-201-00004_Annotated_CRF___v1.0_05_Mar_2025,gates,3,quality,warn_text_blocklists,"The program filters by 12 hardcoded literal text strings (membership blocklists / long regex alternations of specific wordings). These fit only the pages they were copied from: unsampled pages carry the same junk classes with other wording, and real fields elsewhere can share the blocklisted words. "
384-201-00004_Annotated_CRF___v1.0_05_Mar_2025,gates,4,blocking,gate_form_explosion,"Degenerate form grouping: 69 distinct form_names for 117 records. A form/section title groups MANY fields by definition, so these form_name values are per-field text (each field's own label, a machine code, or a per-field technical annotation), not the printed title. Extract the title that heads the"
384-201-00004_Annotated_CRF___v1.0_05_Mar_2025,gates,4,quality,warn_other,Only 19% of the 117 records on multi-field pages reuse a form_name used by another field on that page. A form/section title normally persists across the fields it groups; per-field labels or annotations do not. Detect the shared printed heading structurally and carry it across continuation pages. If
384-201-00004_Annotated_CRF___v1.0_05_Mar_2025,gates,5,blocking,gate_form_explosion,"Degenerate form grouping: 69 distinct form_names for 113 records. A form/section title groups MANY fields by definition, so these form_name values are per-field text (each field's own label, a machine code, or a per-field technical annotation), not the printed title. Extract the title that heads the"
384-201-00004_Annotated_CRF___v1.0_05_Mar_2025,gates,5,quality,warn_other,Only 16% of the 113 records on multi-field pages reuse a form_name used by another field on that page. A form/section title normally persists across the fields it groups; per-field labels or annotations do not. Detect the shared printed heading structurally and carry it across continuation pages. If
384-201-00004_Annotated_CRF___v1.0_05_Mar_2025,loop,,fatal,no_version_passed_gates,stop=p1:converged;p2:budget
