form_name,field_name,page
02 - Group Info/Study ICF Draft,Does the participant have a valid photo ID?,1
02 - Group Info/Study ICF Draft,Staff Initials,1
02 - Group Info/Study ICF Draft,Comment,1
02 - Group Info/Study ICF Draft,Did participant complete group information or remote information session?,1
02 - Group Info/Study ICF Draft,Record who held Group Information Session (full name),1
02 - Group Info/Study ICF Draft,Does the Anju study number match the study number in the participants' paper PIS/ICF?,1
02 - Group Info/Study ICF Draft,Study ICF Signed and Dated by the participant?,1
02 - Group Info/Study ICF Draft,Date Study ICF was signed by participant,2
02 - Group Info/Study ICF Draft,Staff Initials,2
02 - Group Info/Study ICF Draft,Comment,2
02 - Group Info/Study ICF Draft,Time Study ICF was signed by participant,2
02 - Group Info/Study ICF Draft,Study ICF Part Number,2
02 - Group Info/Study ICF Draft,Study ICF Version Number,2
02 - Group Info/Study ICF Draft,Study ICF signed and dated by the physician/nurse?,3
02 - Group Info/Study ICF Draft,Staff Initials,3
02 - Group Info/Study ICF Draft,Comment,3
02 - Group Info/Study ICF Draft,Was a copy of the Study ICF given to the participant?,3
02 - Group Info/Study ICF Draft,"Has the participant read, understood and signed the consent for the Future Use Sub Study,",3
02 - Group Info/Study ICF Draft,where a DNA sample will be taken and other data collected may be used for potential future research?,3
02 - Group Info/Study ICF Draft,Additional ICF Signed and Dated by the Participant?,3
02 - Group Info/Study ICF Draft,Date Additional ICF was signed by participant,3
02 - Group Info/Study ICF Draft,Time Additional ICF was signed by participant,4
02 - Group Info/Study ICF Draft,Staff Initials,4
02 - Group Info/Study ICF Draft,Comment,4
02 - Group Info/Study ICF Draft,Additional ICF signed and dated by the physician/nurse?,4
02 - Group Info/Study ICF Draft,What is the status of the subject?,4
03 - Screening Draft v0.1,Sponsor Specific Participation Number (given,5
03 - Screening Draft v0.1,sequentially from S00001),5
03 - Screening Draft v0.1,Staff Initials,5
03 - Screening Draft v0.1,Comment,5
03 - Screening Draft v0.1,Has the participant consumed any alcohol within 24 hours prior to Screening visit?,5
03 - Screening Draft v0.1,Has the participant consumed any food containing poppy seeds within 48 hours prior to,5
03 - Screening Draft v0.1,Screening visit?,5
03 - Screening Draft v0.1,Has the participant taken part in any unaccustomed strenuous exercise within 72 hours prior to,5
03 - Screening Draft v0.1,Please ensure that a Protocol Deviation is completed,5
03 - Screening Draft v0.1,Year of Birth,5
03 - Screening Draft v0.1,Staff Initials,6
03 - Screening Draft v0.1,Comment,6
03 - Screening Draft v0.1,Age 18 to 55 years inclusive at time of signing informed consent,6
03 - Screening Draft v0.1,What is the ethnicity of the participant?,6
03 - Screening Draft v0.1,What is the race of the participant?,7
03 - Screening Draft v0.1,Staff Initials,7
03 - Screening Draft v0.1,Comment,7
03 - Screening Draft v0.1,What is the sex of the participant?,7
03 - Screening Draft v0.1,Is participant of childbearing potential?,8
03 - Screening Draft v0.1,"Female participants who are not of childbearing potential do not need to use any methods of contraception. A woman is considered of childbearing potential unless post menopausal or permanently sterile. Permanent sterilisation methods include hysterectomy, bilateral salpingectomy and bilateral oophorectomy. A post-menopausal state is defined as no menses for 12 months without an alternative medical cause and confirmed by a follicle stimulating hormone (FSH) result of ≥40 IU/L. (If 'Yes', please exclude)",8
03 - Screening Draft v0.1,Staff Initials,8
03 - Screening Draft v0.1,Comment,8
03 - Screening Draft v0.1,"If no, please complete reason:",8
03 - Screening Draft v0.1,Please ensure that an appropriate Medical History Quicklist is completed,8
03 - Screening Draft v0.1,Provide the date of LMP,8
03 - Screening Draft v0.1,Select all contraception options that apply:,9
03 - Screening Draft v0.1,"For sexually active males and their female partners of childbearing potential, there must be a documented agreement that the participant and their partner will take measures (ie, 2 different approved methods of birth control or remain abstinent from sexual activity). External condoms must be used in addition to hormonal contraception. External condom and internal condom should not be used together.",9
03 - Screening Draft v0.1,Staff Initials,9
03 - Screening Draft v0.1,Comment,9
03 - Screening Draft v0.1,Please ensure that an appropriate Medical History Quicklist is completed,10
03 - Screening Draft v0.1,Staff Initials,10
03 - Screening Draft v0.1,Comment,10
03 - Screening Draft v0.1,Please record start date of abstinence,10
03 - Screening Draft v0.1,Does the contraceptive method/procedure/status fall in line with the protocol requirements to,10
03 - Screening Draft v0.1,be considered highly effective?,10
03 - Screening Draft v0.1,"Amount of alcohol units consumed per week. If participant drinks no alcohol, record as ‘0’. (1",10
03 - Screening Draft v0.1,"unit = ½ pint beer, or a 25 mL shot of 40% spirit, 1.5 to 2 units = 125 mL glass of wine, depending on type)",10
03 - Screening Draft v0.1,"Does the participant smoke, use e-cigarettes or any nicotine replacement products? (If yes,",11
03 - Screening Draft v0.1,exclude participant),11
03 - Screening Draft v0.1,Staff Initials,11
03 - Screening Draft v0.1,Comment,11
03 - Screening Draft v0.1,"If previously, date of stopping (Exclude if within the last 2 months)",11
03 - Screening Draft v0.1,Exclude participant if answer yes to smoking (Medic to exclude participant),11
03 - Screening Draft v0.1,Does the participant have any clinically relevant medical/surgical history? (If 'Yes' complete,11
03 - Screening Draft v0.1,Medical History quicklist),11
03 - Screening Draft v0.1,Has the participant taken any medication in the last,12
03 - Screening Draft v0.1,30 days?,12
03 - Screening Draft v0.1,"No medications other than the planned IMP may be taken during the trial. The use of prescription, over the counter, or herbal medications or vitamin supplements within 14 days or 5 half-lives, whichever is longer, prior to dosing and antibiotics within 30 days prior to dosing is prohibited. The sponsor may allow exceptions only if the medication is unlikely to affect the PK results.",12
03 - Screening Draft v0.1,The use of orally administered breast cancer resistance protein (BCRP) substrates is prohibited. (If 'Yes' complete Concomitant Medication quicklist),12
03 - Screening Draft v0.1,Staff Initials,12
03 - Screening Draft v0.1,Comment,12
03 - Screening Draft v0.1,Is the participant suitable for the collection of blood volume required for this study? (Will not,12
03 - Screening Draft v0.1,exceed 550 mL in a 4-week period),12
03 - Screening Draft v0.1,Record time of urine sample (For all Urine Assessments) (Collect Urine Sample),12
03 - Screening Draft v0.1,Urine Cotinine test - please ensure study specific tests are used,12
03 - Screening Draft v0.1,Positive result for Urine Cotinine (Medic to exclude participant),13
03 - Screening Draft v0.1,Staff Initials,13
03 - Screening Draft v0.1,Comment,13
03 - Screening Draft v0.1,"What was the bilirubin result? If any positive result, inform medic/PI. (Perform urinalysis and",13
03 - Screening Draft v0.1,read results),13
03 - Screening Draft v0.1,"What was the urobilinogen result? If any positive result, inform medic/PI. (Perform urinalysis",13
03 - Screening Draft v0.1,and read results),13
03 - Screening Draft v0.1,"What was the ketone result? If any positive result, inform medic/PI. (Perform urinalysis and",14
03 - Screening Draft v0.1,read results),14
03 - Screening Draft v0.1,Staff Initials,14
03 - Screening Draft v0.1,Comment,14
03 - Screening Draft v0.1,"What was the glucose result? If any positive result, inform medic/PI. (Perform urinalysis and",14
03 - Screening Draft v0.1,What was the protein result?,14
03 - Screening Draft v0.1,"IF PROTEIN ≥ 30mg/dl: Repeat urinalysis as soon as possible, ensuring a clean catch specimen. If protein remains ≥ 30mg/dl on repeat, then inform PI/medic. (Perform urinalysis and read results)",14
03 - Screening Draft v0.1,Staff Initials,15
03 - Screening Draft v0.1,Comment,15
03 - Screening Draft v0.1,What was the blood result? (Perform urinalysis and read results),15
03 - Screening Draft v0.1,What was the nitrite result? (Perform urinalysis and read results),15
03 - Screening Draft v0.1,Comment,16
03 - Screening Draft v0.1,Record pH value (Perform urinalysis and read results),16
03 - Screening Draft v0.1,Staff Initials,16
03 - Screening Draft v0.1,Record specific gravity of sample (Perform urinalysis and read results),16
03 - Screening Draft v0.1,Comment,17
03 - Screening Draft v0.1,What was the leukocyte result? (Perform urinalysis and read results),17
03 - Screening Draft v0.1,Staff Initials,17
