doc,stage,version,severity,code,detail
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,gates,1,quality,warn_text_blocklists,"The program filters by 14 hardcoded literal text strings (membership blocklists / long regex alternations of specific wordings). These fit only the pages they were copied from: unsampled pages carry the same junk classes with other wording, and real fields elsewhere can share the blocklisted words. "
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_missed,p1: Has the participant's photographic and wristband ID been verified and wristband applied to participant's wrist?
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_missed,p1: Staff Initials:
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_missed,p1: Comment:
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_missed,p1: Date _  _  -  _  _  _  -  _  _  _  _ (dd-MMM-yyyy)
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_missed,p1: Version  _  _  .  _   (##.0)
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p1: Admission Restrictions: Photo ID #1
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p1: Has the participant's photographic and wristband ID been verified and wristband applied to
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p1: participant's wrist?
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p1: Admission Restrictions: Bag Search #1
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p1: Admission Restrictions: Bag Search Items Removed #1
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p1: Admission Restrictions: ICF Check #1
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p1: Admission Restrictions: ICF Version/Date #1
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p1: (Version must be checked against ICF present in the CSF – escalate any discrepancies)
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_wrong_form,p1: Bag search performed?
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_wrong_form,"p1: If restricted items removed, record items here"
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_wrong_form,p1: Has the ICF version been checked?
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_wrong_form,p1: Signed ICF Version / Date
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_missed,p2: Has the participant consumed any alcohol within 48 hours (72hrs prior to dosing) prior to Admission visit?  (If 'Yes' exclude per exclusion criteria #24)
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_missed,"p2: Has the participant consumed food and beverages containing methylxanthines (caffeinated coffee, caffeinated tea, caffeinated soda, and chocolate) within 48 hours (72hrs prior to dosing) prior to Admission visit? (If 'Yes' exclude per exclusion criteria #24)"
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_missed,p2: Staff Initials:
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_missed,p2: Comment:
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_missed,p2: Date _  _  -  _  _  _  -  _  _  _  _ (dd-MMM-yyyy)
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_missed,p2: Time _  _  :  _  _ (HH:mm)
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_missed,p2: No of Units  _  _  units (##)
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p2: Admission Restrictions: Screening #1
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p2: Admission Restrictions: Alcohol #1
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p2: Has the participant consumed any alcohol within 48 hours (72hrs prior to dosing) prior to
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p2: Admission visit?  (If 'Yes' exclude per exclusion criteria #24)
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p2: Admission Restrictions: Alcohol Units #1
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p2: Admission Restrictions: Caffeine #1
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p2: Has the participant consumed food and beverages containing methylxanthines (caffeinated
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,"p2: coffee, caffeinated tea, caffeinated soda, and chocolate) within 48 hours (72hrs prior to dosing) prior to Admission visit? (If 'Yes' exclude per exclusion criteria #24)"
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_wrong_form,p2: Has it been more than 20 days since the Screening visit?
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_wrong_form,"p2: If consumed; date, time and number of units"
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_missed,"p3: Has participant consumed food or beverages containing pomelo, grapefruit, grapefruit juice, Seville oranges, Seville orange juice, blueberry juice, or cranberry juice within 48 hours (72hrs prior to dosing) prior to Admission visit? (If 'Yes' exclude per exclusion criteria #24)"
