doc,stage,version,severity,code,detail
annotatedCRF_33120100246-_v1.0_-17Aug2021,gates,2,quality,warn_text_blocklists,"The program filters by 12 hardcoded literal text strings (membership blocklists / long regex alternations of specific wordings). These fit only the pages they were copied from: unsampled pages carry the same junk classes with other wording, and real fields elsewhere can share the blocklisted words. "
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,2,quality,audit_missed,p58: Urinalysis clinically significant abnormal assay # 5
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,2,quality,audit_false_positive,p58: Microscopic analysis if indicated
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,2,quality,audit_wrong_form,p58: Urinalysis abnormal assay # 5 Investigator comment
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,2,quality,audit_wrong_form,p58: Are there additional urinalysis clinically significant abnormal results to be entered?
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,2,quality,audit_wrong_form,p58: Investigator`s signature for Local Laboratory Results Review
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,2,quality,audit_missed,p334: Sample Status
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,2,quality,audit_missed,p334: Time of Collection
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,2,quality,audit_missed,p334: Backup Barcode Number
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,2,quality,audit_false_positive,p334: Row 1 - Collection
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,2,quality,audit_false_positive,p334: Row 1 - Number
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,2,quality,audit_false_positive,p334: Row 1 - Collected
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,2,quality,audit_false_positive,p334: Prazosin PK
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,2,quality,audit_false_positive,p334: Row 2 - Prazosin PK
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,2,quality,audit_false_positive,p334: Row 2 - Collected
annotatedCRF_33120100246-_v1.0_-17Aug2021,gates,3,quality,warn_text_blocklists,"The program filters by 24 hardcoded literal text strings (membership blocklists / long regex alternations of specific wordings). These fit only the pages they were copied from: unsampled pages carry the same junk classes with other wording, and real fields elsewhere can share the blocklisted words. "
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,3,quality,audit_missed,p58: Urinalysis clinically significant abnormal assay # 5
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,3,quality,audit_missed,p58: Urinalysis abnormal assay # 5 Investigator comment
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,3,quality,audit_missed,p58: Investigator`s signature for Local Laboratory Results Review
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,3,quality,audit_false_positive,p58: Microscopic analysis if indicated
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,3,quality,audit_missed,p82: Has the subject had any changes to their health since previous visit?
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,3,quality,audit_missed,p82: Are there any changes in concomitant medications including dose changes to be reported?
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,3,quality,audit_missed,p334: Was PK Collection Performed?
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,3,quality,audit_missed,"p334: If not performed, Reason:"
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,3,quality,audit_missed,p334: Date of Collection
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,3,quality,audit_missed,p334: Timepoint
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,3,quality,audit_missed,p334: Sample Status
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,3,quality,audit_missed,p334: Time of Collection
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,3,quality,audit_missed,p334: Barcode Number
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,3,quality,audit_missed,p334: Backup Barcode Number
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,3,quality,audit_false_positive,p334: Row 1 - Collection
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,3,quality,audit_false_positive,p334: Row 1 - Number
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,3,quality,audit_false_positive,p334: Row 1 - Barcode Number
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,3,quality,audit_false_positive,p334: Row 2 - Collected
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,3,quality,audit_missed,p511: Route of Administration
annotatedCRF_33120100246-_v1.0_-17Aug2021,gates,4,quality,warn_text_blocklists,"The program filters by 24 hardcoded literal text strings (membership blocklists / long regex alternations of specific wordings). These fit only the pages they were copied from: unsampled pages carry the same junk classes with other wording, and real fields elsewhere can share the blocklisted words. "
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,4,quality,audit_missed,p58: Urinalysis clinically significant abnormal assay # 5
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,4,quality,audit_false_positive,p58: Microscopic analysis if indicated
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,4,quality,audit_wrong_form,p58: Urinalysis abnormal assay # 5 Investigator comment
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,4,quality,audit_wrong_form,p58: Are there additional urinalysis clinically significant abnormal results to be entered?
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,4,quality,audit_wrong_form,p58: Investigator`s signature for Local Laboratory Results Review
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,4,quality,audit_false_positive,p334: Row 1 - Timepoint
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,4,quality,audit_false_positive,p334: Row 1 - Sample
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,4,quality,audit_false_positive,p334: Row 2 - Timepoint
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,4,quality,audit_false_positive,p334: Row 2 - Sample
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,4,quality,audit_wrong_form,p386: Time Placed in Position
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,4,quality,audit_wrong_form,p386: Time of Vitals Measurement #3
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,4,quality,audit_missed,p511: Route of Administration
annotatedCRF_33120100246-_v1.0_-17Aug2021,gates,5,quality,warn_text_blocklists,"The program filters by 12 hardcoded literal text strings (membership blocklists / long regex alternations of specific wordings). These fit only the pages they were copied from: unsampled pages carry the same junk classes with other wording, and real fields elsewhere can share the blocklisted words. "
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,5,quality,audit_missed,p58: Urinalysis clinically significant abnormal assay # 5
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,5,quality,audit_false_positive,p58: Microscopic analysis if indicated
