doc,stage,version,severity,code,detail
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_wrong_form,p1: Does the participant have a valid photo ID?
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_wrong_form,p1: Did participant complete group information or remote information session?
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_wrong_form,p1: Record who held Group Information Session (full name)
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_wrong_form,p1: Does the Anju study number match the study number in the participants' paper PIS/ICF?
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_wrong_form,p1: Study ICF Signed and Dated by the participant?
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_wrong_form,p3: Study ICF signed and dated by the physician/nurse?
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_wrong_form,p3: Was a copy of the Study ICF given to the participant?
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_wrong_form,"p3: Has the participant read, understood and signed the consent for the Future Use Sub Study, where a DNA sample will be taken and other data collected may be used for potential future research?"
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_wrong_form,p3: Additional ICF Signed and Dated by the Participant?
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_wrong_form,p3: Date Additional ICF was signed by participant
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_wrong_form,p4: Time Additional ICF was signed by participant
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_wrong_form,p4: Additional ICF signed and dated by the physician/nurse?
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_wrong_form,p4: What is the status of the subject?
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_wrong_form,"p39: Exclusion 24. Consumption of alcohol and/or food and beverages containing methylxanthines (caffeinated coffee, caffeinated tea, caffeinated soda, and chocolate), pomelo, grapefruit, grapefruit juice, Seville oranges, Seville orange juice, blueberry juice, or cranberry juice within 72 hours prio"
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_wrong_form,"p39: Exclusion 25. Participants with active suicidal ideation or suicidal behavior within the last 6 months, at the screening visit (Baseline/Screening version), and/or prior to dosing (as evidenced by clinical examination or an answer of “yes” on Questions 4 or 5 of the C SSRS Since Last Visit vers"
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_wrong_form,p39: Exclusion 26. Not able to consume the FDA HFM (High Fat Meal) for Part 2 and Part 3 within 20 minutes.
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_wrong_form,"p39: Exclusion 27. Participant has any significant primary sleep disorder. Participants with known untreated moderate or severe sleep apnea, other major untreated sleep disorders, or a known diagnosis of a circadian rhythm disorder. Participants adequately treated for obstructive sleep apnea are not"
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_missed,p77: Other (Specify)
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_wrong_form,p77: What is the verbatim term for the medical history condition/event?
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_wrong_form,p77: What was the date the Medical History event or condition started?
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_wrong_form,p77: Is the Medical History event or condition still ongoing?
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_wrong_form,p77: What was the date the Medical History event or condition ended?
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_missed,p1: Staff Initials:
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_missed,p1: Comment:
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_wrong_form,p1: Does the participant have a valid photo ID?
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_wrong_form,p1: Did participant complete group information or remote information session?
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_wrong_form,p1: Record who held Group Information Session (full name)
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_wrong_form,p1: Does the Anju study number match the study number in the participants' paper PIS/ICF?
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_wrong_form,p1: Study ICF Signed and Dated by the participant?
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_missed,p2: Staff Initials:
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_missed,p2: Comment:
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_missed,p2: Study ICF Version Number
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_false_positive,p2: Study ICF Version Number (Version must be checked against ICF present in the RSF – escalate any discrepancies)
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_wrong_form,p2: Date Study ICF was signed by participant
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_wrong_form,p2: Time Study ICF was signed by participant
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_wrong_form,p2: Study ICF Part Number
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_wrong_form,p2: Study ICF Version Number (Version must be checked against ICF present in the RSF – escalate any discrepancies)
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_missed,p3: Staff Initials:
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_missed,p3: Comment:
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_wrong_form,p3: Study ICF signed and dated by the physician/nurse?
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_wrong_form,p3: Was a copy of the Study ICF given to the participant?
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_wrong_form,"p3: Has the participant read, understood and signed the consent for the Future Use Sub Study, where a DNA sample will be taken and other data collected may be used for potential future research?"
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_wrong_form,p3: Additional ICF Signed and Dated by the Participant?
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_wrong_form,p3: Date Additional ICF was signed by participant
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_missed,p4: Staff Initials:
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_missed,p4: Comment:
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_wrong_form,p4: Time Additional ICF was signed by participant
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_wrong_form,p4: Additional ICF signed and dated by the physician/nurse?
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_wrong_form,p4: What is the status of the subject?
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_missed,p39: Staff Initials:
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_missed,p39: Comment:
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_wrong_form,"p39: Exclusion 24. Consumption of alcohol and/or food and beverages containing methylxanthines (caffeinated coffee, caffeinated tea, caffeinated soda, and chocolate), pomelo, grapefruit, grapefruit juice, Seville oranges, Seville orange juice, blueberry juice, or cranberry juice within 72 hours prio"
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_wrong_form,"p39: Exclusion 25. Participants with active suicidal ideation or suicidal behavior within the last 6 months, at the screening visit (Baseline/Screening version), and/or prior to dosing (as evidenced by clinical examination or an answer of “yes” on Questions 4 or 5 of the C SSRS Since Last Visit vers"
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_wrong_form,p39: Exclusion 26. Not able to consume the FDA HFM (High Fat Meal) for Part 2 and Part 3 within 20 minutes.
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_wrong_form,"p39: Exclusion 27. Participant has any significant primary sleep disorder. Participants with known untreated moderate or severe sleep apnea, other major untreated sleep disorders, or a known diagnosis of a circadian rhythm disorder. Participants adequately treated for obstructive sleep apnea are not"
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_missed,p56: Staff Initials:
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_missed,p56: Comment:
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_missed,p77: Other (Specify)
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_missed,p77: Staff Initials:
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_missed,p77: Comment:
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_wrong_form,p77: What is the verbatim term for the medical history condition/event?
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_wrong_form,p77: What was the date the Medical History event or condition started?
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_wrong_form,p77: Is the Medical History event or condition still ongoing?
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_wrong_form,p77: What was the date the Medical History event or condition ended?
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,3,quality,audit_missed,p1: Comment:
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,3,quality,audit_missed,p1: Comment:
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,3,quality,audit_missed,p1: Comment:
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,3,quality,audit_missed,p1: Comment:
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,3,quality,audit_missed,p1: Comment:
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,3,quality,audit_wrong_form,p1: Did participant complete group information or remote information session?
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,3,quality,audit_wrong_form,p1: Record who held Group Information Session (full name)
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,3,quality,audit_wrong_form,p1: Does the Anju study number match the study number in the participants' paper PIS/ICF?
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,3,quality,audit_wrong_form,p1: Study ICF Signed and Dated by the participant?
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,3,quality,audit_missed,p2: Comment:
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,3,quality,audit_missed,p2: Comment:
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,3,quality,audit_missed,p2: Comment:
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,3,quality,audit_missed,p2: Comment:
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,3,quality,audit_wrong_form,p2: Date Study ICF was signed by participant
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,3,quality,audit_wrong_form,p2: Time Study ICF was signed by participant
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,3,quality,audit_wrong_form,p2: Study ICF Part Number
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,3,quality,audit_wrong_form,p2: Study ICF Version Number
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,3,quality,audit_missed,p3: Comment:
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,3,quality,audit_missed,p3: Comment:
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,3,quality,audit_missed,p3: Comment:
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,3,quality,audit_missed,p3: Comment:
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,3,quality,audit_missed,p3: Comment:
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,3,quality,audit_wrong_form,p3: Was a copy of the Study ICF given to the participant?
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,3,quality,audit_wrong_form,"p3: Has the participant read, understood and signed the consent for the Future Use Sub Study, where a DNA sample will be taken and other data collected may be used for potential future research?"
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,3,quality,audit_wrong_form,p3: Additional ICF Signed and Dated by the Participant?
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,3,quality,audit_wrong_form,p3: Date Additional ICF was signed by participant
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,3,quality,audit_missed,p4: Comment:
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,3,quality,audit_missed,p4: Comment:
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,3,quality,audit_missed,p4: Comment:
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,3,quality,audit_wrong_form,p4: Additional ICF signed and dated by the physician/nurse?
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,3,quality,audit_wrong_form,p4: What is the status of the subject?
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,3,quality,audit_missed,p39: Comment:
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,3,quality,audit_missed,p39: Comment:
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,3,quality,audit_missed,p39: Comment:
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,3,quality,audit_wrong_form,"p39: Exclusion 25. Participants with active suicidal ideation or suicidal behavior within the last 6 months, at the screening visit (Baseline/Screening version), and/or prior to dosing (as evidenced by clinical examination or an answer of “yes” on Questions 4 or 5 of the C SSRS Since Last Visit vers"
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,3,quality,audit_wrong_form,p39: Exclusion 26. Not able to consume the FDA HFM (High Fat Meal) for Part 2 and Part 3 within 20 minutes.
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,3,quality,audit_wrong_form,"p39: Exclusion 27. Participant has any significant primary sleep disorder. Participants with known untreated moderate or severe sleep apnea, other major untreated sleep disorders, or a known diagnosis of a circadian rhythm disorder. Participants adequately treated for obstructive sleep apnea are not"
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,3,quality,audit_missed,p56: Comment:
