doc,stage,version,severity,code,detail
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,gates,1,quality,warn_text_blocklists,"The program filters by 12 hardcoded literal text strings (membership blocklists / long regex alternations of specific wordings). These fit only the pages they were copied from: unsampled pages carry the same junk classes with other wording, and real fields elsewhere can share the blocklisted words. "
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,gates,2,quality,warn_text_blocklists,"The program filters by 12 hardcoded literal text strings (membership blocklists / long regex alternations of specific wordings). These fit only the pages they were copied from: unsampled pages carry the same junk classes with other wording, and real fields elsewhere can share the blocklisted words. "
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_false_positive,p1: Photo ID
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_false_positive,p1: Group Info Session
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_false_positive,p1: Group info held by
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_false_positive,p1: Study ICF Database Check
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_false_positive,p1: Study ICF Participant
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_false_positive,p1: Study ICF Date
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_false_positive,p3: Study ICF Signed by Physician/Nurse
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_false_positive,p3: Study ICF copy
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_false_positive,p3: Consented to Additional ICF
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_false_positive,p3: where a DNA sample will be taken and other data collected may be used for potential future research?
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_false_positive,p3: Add ICF Participant
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_false_positive,p3: Add ICF Date
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_false_positive,p4: Add ICF Time
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_false_positive,p4: Add ICF Signed by Physician/Nurse
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_false_positive,p4: Available
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_false_positive,p39: E24
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_false_positive,"p39: (caffeinated coffee, caffeinated tea, caffeinated soda, and chocolate), pomelo, grapefruit, grapefruit juice, Seville oranges, Seville orange juice, blueberry juice, or cranberry juice within 72 hours prior to dosing."
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_false_positive,p39: E25
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_false_positive,"p39: months, at the screening visit (Baseline/Screening version), and/or prior to dosing (as evidenced by clinical examination or an answer of ""yes"" on Questions 4 or 5 of the C SSRS Since Last Visit version) or suicidal behavior is present in the C-SSRS."
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_false_positive,p39: E26
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_false_positive,p39: minutes.
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,quality,audit_false_positive,p39: E27
