doc,stage,version,severity,code,detail
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,1,quality,audit_missed,p71: Have you wished you were dead or wished you could go to sleep and not wake up?
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,1,quality,audit_missed,"p71: If Yes, describe"
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,1,quality,audit_false_positive,"p71: Subject endorses thoughts about a wish to be dead or not alive anymore, or wish to fall asleep and not wake up."
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,1,quality,audit_false_positive,p71: Row 3
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,1,quality,audit_false_positive,"p71: General non-specific thoughts of wanting to end one's life/commit suicide (e.g. ""I've thought about killing myself"") without thoughts of way to kill oneself/associated"
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,1,quality,audit_false_positive,p172: Row 3
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,1,quality,audit_false_positive,p172: Propranolol PK
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,1,quality,audit_false_positive,p172: Prazosin PK
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,1,quality,audit_false_positive,p172: Row 4
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,1,quality,audit_false_positive,p172: Row 5
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,1,quality,audit_missed,p442: Planned Timepoint
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,1,quality,audit_false_positive,p442: Triplicate Orthostatic BP and HR - 2h Postdose
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,2,quality,audit_missed,p36: HEENT
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,2,quality,audit_missed,p36: Thorax
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,2,quality,audit_missed,p36: Abdomen
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,2,quality,audit_false_positive,p36: Clinically Significant
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,2,quality,audit_false_positive,p36: Region/Body System
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,2,quality,audit_false_positive,p36: Abnormal Findings
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,2,quality,audit_false_positive,p36: Result
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,2,quality,audit_false_positive,p36: Not Done
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,2,quality,audit_missed,p71: Have you wished you were dead or wished you could go to sleep and not wake up?
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,2,quality,audit_missed,"p71: If Yes, describe"
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,2,quality,audit_false_positive,"p71: Subject endorses thoughts about a wish to be dead or not alive anymore, or wish to fall asleep and not wake up."
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,2,quality,audit_false_positive,p71: C-SSRS - Screening/Baseline - Page 1
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,2,quality,audit_false_positive,"p71: General non-specific thoughts of wanting to end one's life/commit suicide (e.g. ""I've thought about killing myself"") without thoughts of way to kill oneself/associated"
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,2,quality,audit_missed,p136: Most severe ideation
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,2,quality,audit_missed,"p136: When you have the thoughts, how long do they last?"
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,2,quality,audit_false_positive,p136: (2) Non-specific active suicidal thoughts (3) Active suicidal ideation with any method (not plan) w/out intent to act (4) Active suicidal ideation w/ some intent to act w/out specific plan (5) Active suicidal ideation w/ specific plan and intent
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,2,quality,audit_false_positive,p136: (1) Fleeting few seconds or minutes (2) Less than 1 hour/some of the time (3) 1-4 hours/a lot of time (4) 4-8 hours/most of day (5) More than 8 hours/persistent or continuous
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,2,quality,audit_missed,p172: Brexpiprazole/Sertraline
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,2,quality,audit_missed,p172: Sertraline PK
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,2,quality,audit_false_positive,p172: 2h Postdose
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,2,quality,audit_wrong_form,p172: 2h Postdose
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,2,quality,audit_wrong_form,p172: Propranolol PK
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,2,quality,audit_wrong_form,p172: Prazosin PK
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,2,quality,audit_missed,p442: Planned Timepoint
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,2,quality,audit_false_positive,p442: Triplicate Orthostatic BP and HR - 2h Postdose
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,3,quality,audit_missed,p36: HEENT
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,3,quality,audit_missed,p36: Thorax
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,3,quality,audit_missed,p36: Abdomen
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,3,quality,audit_false_positive,p36: Not Done
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,3,quality,audit_missed,p50: Chemistry clinically significant abnormal assay # 5
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,3,quality,audit_wrong_form,p50: Chemistry abnormal assay # 5 Investigator comment
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,3,quality,audit_wrong_form,p50: Are there any additional clinically significant abnormal chemistry results to be entered?
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,3,quality,audit_missed,p71: 1. Wish to be dead
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,3,quality,audit_missed,p71: Have you wished you were dead or wished you could go to sleep and not wake up?
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,3,quality,audit_missed,"p71: If Yes, describe"
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,3,quality,audit_missed,p71: 2. Non-specific active suicidal thoughts
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,3,quality,audit_false_positive,"p71: General non-specific thoughts of wanting to end one's life/commit suicide (e.g. ""I've thought about killing myself"") without thoughts of way to kill oneself/associated"
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,3,quality,audit_missed,p136: Most severe ideation
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,3,quality,audit_missed,"p136: When you have the thoughts, how long do they last?"
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,3,quality,audit_false_positive,p136: (2) Non-specific active suicidal thoughts (3) Active suicidal ideation with any method (not plan) w/out intent to act (4) Active suicidal ideation w/ some intent to act w/out specific plan (5) Active suicidal ideation w/ specific plan and intent
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,3,quality,audit_false_positive,p136: (1) Fleeting few seconds or minutes (2) Less than 1 hour/some of the time (3) 1-4 hours/a lot of time (4) 4-8 hours/most of day (5) More than 8 hours/persistent or continuous
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,3,quality,audit_missed,p172: Brexpiprazole/Sertraline PK
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,3,quality,audit_missed,p172: Sertraline PK
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,3,quality,audit_wrong_form,p172: Propranolol PK
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,3,quality,audit_wrong_form,p172: Prazosin PK
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,3,quality,audit_missed,p303: Urinalysis clinically significant abnormal assay # 4
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,3,quality,audit_wrong_form,p303: Urinalysis abnormal assay # 4 Investigator comment
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,3,quality,audit_missed,p442: Planned Timepoint
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,3,quality,audit_missed,p511: Route of Administration
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,4,quality,audit_missed,p19: Visit Date
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,4,quality,audit_missed,p36: Planned Timepoint
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,4,quality,audit_missed,p36: Examination Date
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,4,quality,audit_missed,p36: Examination Time
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,4,quality,audit_missed,p36: Evaluator
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,4,quality,audit_missed,p36: HEENT
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,4,quality,audit_missed,p36: Thorax
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,4,quality,audit_missed,p36: Abdomen
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,4,quality,audit_false_positive,p36: Region/Body System Result
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,4,quality,audit_missed,p46: Chemistry clinically significant abnormal assay # 1:
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,4,quality,audit_missed,p50: Chemistry clinically significant abnormal assay # 5
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,4,quality,audit_missed,p71: Date of completion
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,4,quality,audit_missed,p71: Rater's initials
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,4,quality,audit_missed,p71: Have you wished you were dead or wished you could go to sleep and not wake up?
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,4,quality,audit_missed,"p71: If Yes, describe"
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,4,quality,audit_false_positive,"p71: Subject endorses thoughts about a wish to be dead or not alive anymore, or wish to"
